Time (min),Time (ssec),Speed (km/h),Altitude (km)
8,20,25562,147
8,21,25670,147
8,22,25730,148
8,23,25783,148
8,24,25841,148
8,25,25897,148
8,26,25956,148
8,27,26018,148
8,28,26072,148
8,29,26136,149
8,30,26188,149
8,31,26243,149
8,32,26291,149
8,33,26354,149
8,34,26408,149
8,35,26468,149
8,36,26485,150
8,37,26486,150
8,38,26486,150
